"Date";"Species";"Abundance"
"1981";"Anas";"112.5"
"1982";"Anas";"103.5"
"1983";"Anas";"201.75"
"1984";"Anas";"207.75"
"1985";"Anas";"247"
"1986";"Anas";"327.25"
"1987";"Anas";"112.75"
"1988";"Anas";"213.75"
"1989";"Anas";"176.5"
"1990";"Anas";"241.5"
"1991";"Anas";"282"
"1992";"Anas";"243"
"1993";"Anas";"256.25"
"1994";"Anas";"147.75"
"1995";"Anas";"242"
"1996";"Anas";"236"
"1997";"Anas";"165.75"
"1998";"Anas";"125.25"
"1999";"Anas";"152.75"
"2000";"Anas";"154.75"
"2001";"Anas";"131.5"
"2002";"Anas";"126.75"
"2003";"Anas";"131.75"
"2004";"Anas";"157.5"
"2005";"Anas";"76"
"2006";"Anas";"173.5"
"2007";"Anas";"130.5"
"2008";"Anas";"187.25"
"2009";"Anas";"195.5"
"2010";"Anas";"230.5"
"2011";"Anas";"239"
"2012";"Anas";"378.5"
"2013";"Anas";"551.5"
"2014";"Anas";"241.5"
"2015";"Anas";"199.5"
"2016";"Anas";NA
"1981";"Calidris";"233.75"
"1982";"Calidris";"90.25"
"1983";"Calidris";"292.25"
"1984";"Calidris";"507.75"
"1985";"Calidris";"315.75"
"1986";"Calidris";"225.25"
"1987";"Calidris";"42.5"
"1988";"Calidris";"152"
"1989";"Calidris";"109.75"
"1990";"Calidris";"175.25"
"1991";"Calidris";"120.5"
"1992";"Calidris";"278.25"
"1993";"Calidris";"24.75"
"1994";"Calidris";"299.25"
"1995";"Calidris";"152.5"
"1996";"Calidris";"371.25"
"1997";"Calidris";"55.5"
"1998";"Calidris";"10.75"
"1999";"Calidris";"140.75"
"2000";"Calidris";"21.5"
"2001";"Calidris";"78.25"
"2002";"Calidris";"21.75"
"2003";"Calidris";"22.5"
"2004";"Calidris";"33.5"
"2005";"Calidris";"0"
"2006";"Calidris";"5.75"
"2007";"Calidris";"441.25"
"2008";"Calidris";"438.5"
"2009";"Calidris";"172.5"
"2010";"Calidris";"717"
"2011";"Calidris";"304.75"
"2012";"Calidris";"392.5"
"2013";"Calidris";"711.5"
"2014";"Calidris";"860.5"
"2015";"Calidris";"204.25"
"2016";"Calidris";NA
"1981";"Waders";"301.5"
"1982";"Waders";"123.5"
"1983";"Waders";"444.75"
"1984";"Waders";"744.25"
"1985";"Waders";"421"
"1986";"Waders";"274.25"
"1987";"Waders";"135.75"
"1988";"Waders";"197.75"
"1989";"Waders";"167.5"
"1990";"Waders";"253.25"
"1991";"Waders";"227.25"
"1992";"Waders";"341.75"
"1993";"Waders";"54.75"
"1994";"Waders";"459.5"
"1995";"Waders";"254.25"
"1996";"Waders";"459.75"
"1997";"Waders";"88.5"
"1998";"Waders";"13.25"
"1999";"Waders";"217"
"2000";"Waders";"69.25"
"2001";"Waders";"129.5"
"2002";"Waders";"75.25"
"2003";"Waders";"104"
"2004";"Waders";"74.25"
"2005";"Waders";"2.75"
"2006";"Waders";"33"
"2007";"Waders";"838"
"2008";"Waders";"895.25"
"2009";"Waders";"606.75"
"2010";"Waders";"1372.75"
"2011";"Waders";"1029.5"
"2012";"Waders";"1740.25"
"2013";"Waders";"2168.5"
"2014";"Waders";"2444"
"2015";"Waders";"1567.25"
"2016";"Waders";NA
"1981";"Ducks";"348.75"
"1982";"Ducks";"471.25"
"1983";"Ducks";"750.75"
"1984";"Ducks";"600.5"
"1985";"Ducks";"731.75"
"1986";"Ducks";"860.5"
"1987";"Ducks";"324"
"1988";"Ducks";"689"
"1989";"Ducks";"974"
"1990";"Ducks";"676.5"
"1991";"Ducks";"667"
"1992";"Ducks";"759.5"
"1993";"Ducks";"943.75"
"1994";"Ducks";"1016.75"
"1995";"Ducks";"1004.5"
